origin_city,pct_same_day,pct_4hr,shipments_per_day,avg_distance_km,cur_delivery_time_hr,cur_cost_aed,delay_rate_pct,delay_churn_pct,lat,lon,pct_ultra_urgent,traffic_level,fuel_cost,wage_cost,maint_cost,overhead_cost,competitor_time_hr,peak_hours
dubai,21.8,34.8,19,55.3,1.3,28.69,49.7,19.4,25.1609,55.4415,5.9,High,17.214,5.738,4.3035,1.4345,1.62,12-3 PM
ras al khaimah,66.3,10.3,190,66.0,1.4,28.68,44.0,17.2,24.6583,55.4225,13.0,High,17.208,5.736000000000001,4.302,1.4340000000000002,1.75,12-3 PM
ajman,76.7,30.2,105,147.8,3.2,69.51,51.9,26.8,25.2879,54.4054,6.3,Low,41.706,13.902000000000001,10.4265,3.4755000000000003,4.0,6-9 PM
sharjah,16.7,80.7,198,17.2,0.3,6.63,56.9,22.2,25.0461,54.0733,25.2,High,3.9779999999999998,1.326,0.9944999999999999,0.3315,0.38,12-3 PM
sharjah,4.4,49.3,83,21.2,0.7,9.64,33.9,13.3,24.1413,54.6076,16.1,Medium,5.784,1.9280000000000002,1.446,0.48200000000000004,0.88,12-3 PM
al ain,44.0,17.2,166,68.1,2.0,29.71,44.7,21.0,25.4634,54.3143,15.6,Medium,17.826,5.942,4.4565,1.4855,2.5,6-9 AM
dubai,77.4,31.3,66,29.5,0.7,13.19,29.4,18.1,25.1417,54.7916,16.2,Medium,7.914,2.638,1.9785,0.6595,0.88,6-9 AM
ras al khaimah,65.1,95.4,89,104.3,3.0,41.01,47.1,19.4,25.1791,55.9587,18.0,Low,24.605999999999998,8.202,6.1514999999999995,2.0505,3.75,6-9 AM
abu dhabi,70.2,43.2,70,57.3,1.7,29.56,32.2,12.9,24.1922,54.3621,19.9,Medium,17.735999999999997,5.912,4.433999999999999,1.478,2.12,12-3 PM
dubai,40.3,44.2,109,127.7,2.9,47.81,44.2,22.1,24.6756,54.6377,7.2,Medium,28.686,9.562000000000001,7.1715,2.3905000000000003,3.62,6-9 AM
ajman,23.5,15.3,45,113.5,2.8,56.82,16.5,7.3,24.5562,55.4502,21.6,High,34.092,11.364,8.523,2.841,3.5,12-3 PM
al ain,53.2,30.5,101,73.3,2.1,38.84,41.2,28.5,25.3901,55.0184,21.2,Low,23.304000000000002,7.768000000000001,5.8260000000000005,1.9420000000000002,2.62,12-3 PM
ras al khaimah,20.4,81.5,168,127.5,4.2,48.34,34.7,21.6,24.9658,54.0879,14.7,Medium,29.004,9.668000000000001,7.251,2.4170000000000003,5.25,6-9 PM
ras al khaimah,72.6,78.6,31,19.6,0.4,8.59,15.0,6.9,25.2341,54.3234,14.4,Medium,5.154,1.718,1.2885,0.4295,0.5,6-9 AM
ras al khaimah,19.7,43.5,158,89.3,2.9,41.55,41.1,14.3,24.6651,55.8705,0.0,Medium,24.929999999999996,8.31,6.232499999999999,2.0775,3.62,12-3 PM
ras al khaimah,29.1,89.4,171,92.7,2.7,49.91,22.2,8.6,24.3409,54.2063,8.8,Medium,29.945999999999998,9.982,7.4864999999999995,2.4955,3.38,12-3 PM
ajman,50.7,38.0,7,40.7,1.1,20.99,37.7,23.1,24.8319,55.2702,17.6,Medium,12.594,4.1979999999999995,3.1485,1.0494999999999999,1.38,6-9 PM
dubai,48.7,86.4,135,12.2,0.3,5.3,39.5,19.1,24.0957,55.5847,21.0,Medium,3.1799999999999997,1.06,0.7949999999999999,0.265,0.38,6-9 AM
al ain,60.1,3.2,97,82.6,2.3,44.13,40.3,15.2,25.2414,54.5309,18.6,Medium,26.478,8.826,6.6195,2.2065,2.88,12-3 PM
sharjah,43.7,34.7,127,79.5,2.0,33.36,41.0,22.5,24.9475,55.4502,14.6,Medium,20.016,6.672000000000001,5.004,1.6680000000000001,2.5,12-3 PM
